geoid_a,geoid_b,pax_ab,pax_ba,passengers
18097,36081,9107,9401,18508
37021,37119,9401,9073,18474
13063,37021,9133,9329,18462
12011,51087,9081,9378,18459
11001,12031,9261,9197,18458
12057,48113,9313,9084,18397
21015,34013,9117,9264,18381
11001,12071,9393,8975,18368
13063,36119,9119,9114,18233
19155,32003,9093,9116,18209
17031,51087,8801,9373,18174
49035,53063,9257,8907,18164
12011,48453,8578,9547,18125
18097,26163,8839,9267,18106
12057,39035,8676,9356,18032
30031,49035,8964,9047,18011
12071,34001,8902,9051,17953
37119,47009,9193,8755,17948
26163,51107,9046,8882,17928
34013,49035,9031,8859,17890
08031,46099,8620,9262,17882
08031,12071,8701,9130,17831
08031,47157,8876,8898,17774
06081,48113,9278,8438,17716
12011,42003,8780,8936,17716
37119,47065,9239,8473,17712
26163,55025,8806,8865,17671
13063,28047,8778,8879,17657
48453,53033,8792,8852,17644
24003,51710,8508,9131,17639
13063,20173,8825,8813,17638
22051,42101,8717,8909,17626
41039,53033,8929,8680,17609
12057,29189,8789,8815,17604
09003,42101,8335,9262,17597
48439,55079,8417,9126,17543
36081,51087,8563,8958,17521
01073,48439,8638,8779,17417
25025,51087,8853,8538,17391
36067,37119,8713,8654,17367
12086,12087,8302,9052,17354
34013,41051,8382,8925,17307
13063,44003,8680,8579,17259
06073,26163,8624,8582,17206
12127,37119,8649,8555,17204
06085,36081,8654,8503,17157
49035,56039,8575,8581,17156
12011,49035,8504,8618,17122
11001,12099,8635,8452,17087
40143,48113,8571,8473,17044
19155,27053,8066,8967,17033
34013,39035,8957,8073,17030
29165,47037,8219,8805,17024
48355,48439,8472,8541,17013
25025,48453,9034,7950,16984
48453,51107,8488,8472,16960
13063,45051,8561,8397,16958
12071,21015,8296,8640,16936
08031,12031,9064,7834,16898
17031,42043,8274,8607,16881
09003,26163,8585,8281,16866
08031,30111,8499,8328,16827
12011,21015,8215,8593,16808
12011,37021,8160,8623,16783
21015,27053,8610,8167,16777
06073,32031,8218,8552,16770
36081,51710,8517,8211,16728
36081,51107,8401,8323,16724
12071,42003,8087,8619,16706
36001,37119,8233,8438,16671
04013,06019,8653,8000,16653
36081,55079,8089,8487,16576
01073,37119,8167,8406,16573
23005,36081,8730,7819,16549
37183,51107,8599,7933,16532
06081,32031,8315,8192,16507
06065,27053,7961,8546,16507
12011,36001,8051,8382,16433
06073,29189,8177,8233,16410
06067,48201,8939,7471,16410
06085,48113,8785,7601,16386
41051,48201,7769,8603,16372
48113,48375,7996,8325,16321
04019,13063,8334,7972,16306
29165,36081,7733,8552,16285
26163,48453,8434,7749,16183
25025,39035,8250,7892,16142
12095,26081,7872,8250,16122
29077,48439,8072,8026,16098
25025,36029,8099,7954,16053
06085,32031,8058,7971,16029
48375,48439,7928,8059,15987
01073,17031,7918,8052,15970
23005,37119,8197,7735,15932
11001,29165,7924,7993,15917
47037,48453,7715,8109,15824
12031,42101,7673,8122,15795
06037,12057,8583,7193,15776
06073,29165,8114,7615,15729
12011,29189,7544,8169,15713
22051,32003,7793,7919,15712
22033,48439,7674,8035,15709
24003,36103,7967,7717,15684
32003,37183,7314,8358,15672
28121,48439,7948,7722,15670
08031,48141,7665,8001,15666
16001,32003,7643,8000,15643
06081,37183,7996,7605,15601
06081,47037,8037,7547,15584
18097,27053,7862,7687,15549
23005,24003,8062,7485,15547
12081,17031,7658,7867,15525
12057,18097,7482,8039,15521
24003,29189,7936,7577,15513
21015,24003,7708,7774,15482
06019,48439,8001,7480,15481
22051,27053,7909,7538,15447
13063,47163,7626,7787,15413
17031,35001,7500,7912,15412
06059,27053,7583,7817,15400
37119,49035,7666,7674,15340
21111,48201,7639,7697,15336
04013,40109,7609,7723,15332
13063,19153,7605,7716,15321
12095,36119,7233,8072,15305
12057,55079,7284,7953,15237
29165,53033,7467,7748,15215
48453,49035,7639,7570,15209
11001,18097,7595,7610,15205
37119,55079,7744,7424,15168
06037,37183,7641,7526,15167
18097,34013,7577,7583,15160
13063,37129,7669,7483,15152
37119,39113,7677,7472,15149
06073,12095,7798,7326,15124
13063,26049,7538,7573,15111
17031,40109,7850,7247,15097
12031,34013,7622,7428,15050
37119,37133,7591,7456,15047
32031,48439,7478,7527,15005
32003,53063,7473,7530,15003
13063,35001,7627,7354,14981
26163,37183,6989,7958,14947
27053,30031,7534,7381,14915
13063,42043,7309,7602,14911
25025,29189,7590,7315,14905
42101,49035,7578,7308,14886
13063,37051,7231,7625,14856
06081,16001,7272,7584,14856
08031,56039,7509,7344,14853
39035,47037,7718,7131,14849
37119,51770,7465,7378,14843
13245,37119,7477,7284,14761
06001,48201,7598,7120,14718
24003,48453,7495,7217,14712
24003,39049,7280,7389,14669
24003,39035,7381,7269,14650
13063,51770,7309,7333,14642
05119,48113,7351,7283,14634
